 table_name |   column_name   |          data_type          | is_nullable |             column_default             
------------+-----------------+-----------------------------+-------------+----------------------------------------
 histories  | id              | integer                     | NO          | nextval('histories_id_seq'::regclass)
 histories  | user_id         | integer                     | YES         | 
 histories  | task_id         | character varying           | YES         | 
 histories  | prompt          | character varying           | NO          | 
 histories  | image_url       | character varying           | YES         | 
 histories  | created_at      | timestamp without time zone | YES         | 
 histories  | status          | character varying           | YES         | 'pending'::character varying
 plans      | id              | integer                     | NO          | nextval('plans_id_seq'::regclass)
 plans      | name            | character varying           | NO          | 
 plans      | description     | character varying           | YES         | 
 plans      | quota           | integer                     | NO          | 
 plans      | duration_days   | integer                     | YES         | 
 plans      | price           | numeric                     | YES         | 0
 plans      | is_active       | boolean                     | YES         | true
 plans      | created_at      | timestamp without time zone | YES         | now()
 quota_logs | id              | integer                     | NO          | nextval('quota_logs_id_seq'::regclass)
 quota_logs | user_id         | integer                     | NO          | 
 quota_logs | change          | integer                     | NO          | 
 quota_logs | reason          | character varying           | NO          | 
 quota_logs | operator_id     | integer                     | YES         | 
 quota_logs | related_plan_id | integer                     | YES         | 
 quota_logs | created_at      | timestamp without time zone | YES         | now()
 users      | id              | integer                     | NO          | nextval('users_id_seq'::regclass)
 users      | username        | character varying           | NO          | 
 users      | password_hash   | character varying           | NO          | 
 users      | email           | character varying           | YES         | 
 users      | phone           | character varying           | YES         | 
 users      | role            | character varying           | YES         | 
 users      | quota           | bigint                      | YES         | 
 users      | is_active       | boolean                     | YES         | 
 users      | is_deleted      | boolean                     | YES         | 
 users      | avatar_url      | character varying           | YES         | 
 users      | remark          | character varying           | YES         | 
 users      | inviter_id      | integer                     | YES         | 
 users      | invitation_code | character varying           | YES         | 
 users      | created_at      | timestamp without time zone | YES         | 
 users      | updated_at      | timestamp without time zone | YES         | 
 users      | last_login_at   | timestamp without time zone | YES         | 
 users      | account_status  | character varying           | NO          | 'normal'::character varying
(39 rows)

